['Round 10', 'door2', 'stay', 'win']
['Round 11', 'door3', 'stay', 'lose']
['Round 12', 'door2', 'stay', 'win']
['Round 13', 'door3', 'stay', 'win']
['Round 14', 'door1', 'stay', 'win']
['Round 15', 'door2', 'stay', 'win']
['Round 16', 'door3', 'stay', 'lose']
['Round 17', 'door2', 'stay', 'lose']
['Round 18', 'door3', 'stay', 'lose']
['Round 19', 'door2', 'stay', 'win']
['Round 20', 'door2', 'stay', 'lose']
['Round 21', 'door1', 'stay', 'lose']
['Round 22', 'door2', 'stay', 'win']
['Round 23', 'door1', 'stay', 'lose']
['Round 24', 'door1', 'stay', 'win']
['Round 25', 'door3', 'stay', 'lose']
['Round 26', 'door3', 'stay', 'lose']
['Round 27', 'door2', 'stay', 'lose']
['Round 28', 'door1', 'stay', 'lose']
['Round 29', 'door2', 'stay', 'lose']
['Round 30', 'door2', 'stay', 'lose']
['Round 31', 'door3', 'stay', 'win']
['Round 32', 'door3', 'stay', 'lose']
['Round 33', 'door1', 'stay', 'win']
['Round 34', 'door2', 'stay', 'lose']
['Round 35', 'door1', 'stay', 'lose']
['Round 36', 'door3', 'stay', 'lose']
['Round 37', 'door3', 'stay', 'lose']
['Round 38', 'door2', 'stay', 'lose']
['Round 39', 'door3', 'stay', 'lose']
['Round 40', 'door1', 'stay', 'win']
['Round 41', 'door2', 'stay', 'lose']
['Round 42', 'door3', 'stay', 'lose']
['Round 43', 'door1', 'stay', 'lose']
['Round 44', 'door3', 'stay', 'lose']
['Round 45', 'door3', 'stay', 'lose']
['Round 46', 'door2', 'stay', 'lose']
['Round 47', 'door3', 'stay', 'win']
['Round 48', 'door3', 'stay', 'win']
['Round 49', 'door2', 'stay', 'lose']
['Round 50', 'door1', 'stay', 'win']
['Round', 'Choice', 'Action', 'Outcome']
['Round 1', 'door1', 'stay', 'win']
['Round 2', 'door3', 'stay', 'lose']
['Round 3', 'door3', 'stay', 'win']
['Round 4', 'door2', 'stay', 'win']
['Round 5', 'door1', 'stay', 'win']
['Round 6', 'door2', 'stay', 'lose']
['Round 7', 'door1', 'stay', 'lose']
['Round 8', 'door1', 'stay', 'win']
['Round 9', 'door2', 'stay', 'win']
['Round 10', 'door2', 'stay', 'win']
