['Round', 'Choice', 'Action', 'Outcome']
['Round 1', 'door2', 'switch', 'lose']
['Round 2', 'door2', 'switch', 'lose']
['Round 3', 'door1', 'switch', 'lose']
['Round 4', 'door3', 'switch', 'lose']
['Round 5', 'door1', 'switch', 'win']
['Round 6', 'door1', 'switch', 'lose']
['Round 7', 'door1', 'switch', 'win']
['Round 8', 'door3', 'switch', 'lose']
['Round 9', 'door3', 'switch', 'win']
['Round 10', 'door2', 'switch', 'win']
['Round 11', 'door1', 'switch', 'lose']
['Round 12', 'door2', 'switch', 'win']
['Round 13', 'door3', 'switch', 'lose']
['Round 14', 'door2', 'switch', 'win']
['Round 15', 'door1', 'switch', 'lose']
['Round 16', 'door2', 'switch', 'lose']
['Round 17', 'door1', 'switch', 'win']
['Round 18', 'door1', 'switch', 'lose']
['Round 19', 'door3', 'switch', 'win']
['Round 20', 'door3', 'switch', 'win']
['Round 21', 'door1', 'switch', 'lose']
['Round 22', 'door2', 'switch', 'win']
['Round 23', 'door1', 'switch', 'win']
['Round 24', 'door1', 'switch', 'win']
['Round 25', 'door3', 'switch', 'win']
['Round 26', 'door1', 'switch', 'win']
['Round 27', 'door3', 'switch', 'win']
['Round 28', 'door3', 'switch', 'win']
['Round 29', 'door2', 'switch', 'win']
['Round 30', 'door2', 'switch', 'win']
['Round 31', 'door1', 'switch', 'win']
['Round 32', 'door1', 'switch', 'lose']
['Round 33', 'door3', 'switch', 'win']
['Round 34', 'door3', 'switch', 'lose']
['Round 35', 'door2', 'switch', 'lose']
['Round 36', 'door3', 'switch', 'lose']
['Round 37', 'door2', 'switch', 'win']
['Round 38', 'door1', 'switch', 'win']
['Round 39', 'door3', 'switch', 'win']
['Round 40', 'door1', 'switch', 'win']
['Round 41', 'door1', 'switch', 'lose']
['Round 42', 'door1', 'switch', 'win']
['Round 43', 'door3', 'switch', 'lose']
['Round 44', 'door3', 'switch', 'win']
['Round 45', 'door1', 'switch', 'win']
['Round 46', 'door1', 'switch', 'win']
['Round 47', 'door1', 'switch', 'win']
['Round 48', 'door1', 'switch', 'win']
['Round 49', 'door1', 'switch', 'win']
['Round 50', 'door2', 'switch', 'lose']
['Round 51', 'door2', 'switch', 'win']
['Round 52', 'door3', 'switch', 'win']
['Round 53', 'door3', 'switch', 'win']
['Round 54', 'door3', 'switch', 'win']
['Round 55', 'door2', 'switch', 'win']
['Round 56', 'door1', 'switch', 'win']
['Round 57', 'door2', 'switch', 'win']
['Round 58', 'door3', 'switch', 'win']
['Round 59', 'door2', 'switch', 'lose']
['Round 60', 'door2', 'switch', 'win']
['Round 61', 'door3', 'switch', 'win']
['Round 62', 'door3', 'switch', 'lose']
['Round 63', 'door1', 'switch', 'win']
['Round 64', 'door1', 'switch', 'win']
['Round 65', 'door2', 'switch', 'win']
['Round 66', 'door1', 'switch', 'lose']
['Round 67', 'door2', 'switch', 'win']
['Round 68', 'door1', 'switch', 'win']
['Round 69', 'door2', 'switch', 'win']
['Round 70', 'door3', 'switch', 'win']
['Round 71', 'door1', 'switch', 'lose']
['Round 72', 'door3', 'switch', 'lose']
['Round 73', 'door2', 'switch', 'win']
['Round 74', 'door2', 'switch', 'win']
['Round 75', 'door1', 'switch', 'win']
['Round 76', 'door2', 'switch', 'win']
['Round 77', 'door2', 'switch', 'win']
['Round 78', 'door1', 'switch', 'win']
['Round 79', 'door2', 'switch', 'lose']
['Round 80', 'door2', 'switch', 'win']
['Round 81', 'door1', 'switch', 'win']
['Round 82', 'door3', 'switch', 'win']
['Round 83', 'door3', 'switch', 'lose']
['Round 84', 'door1', 'switch', 'win']
['Round 85', 'door1', 'switch', 'win']
['Round 86', 'door3', 'switch', 'win']
['Round 87', 'door2', 'switch', 'lose']
['Round 88', 'door3', 'switch', 'win']
['Round 89', 'door1', 'switch', 'lose']
['Round 90', 'door1', 'switch', 'win']
['Round 91', 'door1', 'switch', 'win']
['Round 92', 'door1', 'switch', 'win']
